insertId,jsonPayload.extra.duration,jsonPayload.extra.statusCode,jsonPayload.extra.url,jsonPayload.message,jsonPayload.module,jsonPayload.user_id,"labels.""compute.googleapis.com/resource_name""","labels.""k8s-pod/app_kubernetes_io/instance""","labels.""k8s-pod/app_kubernetes_io/name""","labels.""k8s-pod/pod-template-hash""","labels.""k8s-pod/role""",logName,receiveTimestamp,resource.labels.cluster_name,resource.labels.container_name,resource.labels.location,resource.labels.namespace_name,resource.labels.pod_name,resource.labels.project_id,resource.type,severity,timestamp,trace
o5ifd0fsphhe1,0.060199,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723448147_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T10:00:29.016093136Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-42vpx,passculture-metier-prod,k8s_container,INFO,2021-04-30T10:00:24.958555453Z,projects/passculture-metier-prod/traces/555e5d8dd2313f1f859328c8c8201767
1ggg8nmfsr892l,0.132069,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723448147_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-d01006a7-url0,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T10:00:19.017440874Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4nvjt,passculture-metier-prod,k8s_container,INFO,2021-04-30T10:00:16.925258114Z,projects/passculture-metier-prod/traces/07fd1bc2167d053f3ebadb9e67afd888
1plp4bufwr1xnc,0.044694,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344020685_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T09:59:08.016522211Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4dlrp,passculture-metier-prod,k8s_container,INFO,2021-04-30T09:59:03.006042722Z,projects/passculture-metier-prod/traces/3c2527b3338d8b3d97f7d9c1c5c36175
k9k51tfwmihva,0.155717,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782344020685_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T09:58:58.024199297Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-xmkgj,passculture-metier-prod,k8s_container,INFO,2021-04-30T09:58:53.664688168Z,projects/passculture-metier-prod/traces/c27efba8cf8685641c2233ce28708dd8
gdkv2tfssge5d,0.08848,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723449397_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T09:56:03.023249374Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4dlrp,passculture-metier-prod,k8s_container,INFO,2021-04-30T09:56:00.041107353Z,projects/passculture-metier-prod/traces/6c6060ab82d35e8134b475327dc5fcea
xl5g8cfy1qukn,0.340802,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723449397_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T09:55:54.013394905Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-42vpx,passculture-metier-prod,k8s_container,INFO,2021-04-30T09:55:52.356889068Z,projects/passculture-metier-prod/traces/71d14a2f37f8a494f18c558c61d68e33
116vducfsq482r,0.068589,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723449380_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T09:53:43.022020968Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4dlrp,passculture-metier-prod,k8s_container,INFO,2021-04-30T09:53:41.457609239Z,projects/passculture-metier-prod/traces/0f7b8b05583151e337fa69cb94cbafe5
pt8aq2fzqkfig,0.125865,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723449380_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T09:53:29.018409550Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-42vpx,passculture-metier-prod,k8s_container,INFO,2021-04-30T09:53:28.716738672Z,projects/passculture-metier-prod/traces/1dbf3834ea33eaca3c33edcf21d55f13
1kvvho4frlrkou,0.162142,200,https://entreprise.data.gouv.fr/api/sirene/v3/unites_legales/394159784,External service called,pcapi.utils.requests,,gke-cluster-metier-p-node-pool-metier-423cc15f-p0zu,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T09:52:53.012915871Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-4dlrp,passculture-metier-prod,k8s_container,INFO,2021-04-30T09:52:52.562571169Z,8a2301cb-6170-49c0-b807-8b8d8b260576
a9qf3wfwccxuz,0.083192,200,"https://e-leclerc.scene7.com/is/image/gtinternet/9782723449373_1?op_sharpen=1&resmode=bilin&fmt=pjpeg&fit=fit,1&wid=450&hei=450",External service called,pcapi.utils.requests,156718,gke-cluster-metier-p-node-pool-metier-d01006a7-7wer,production,pcapi,fd4894567,api,projects/passculture-metier-prod/logs/stdout,2021-04-30T09:50:19.012729487Z,cluster-metier-production,pcapi,europe-west1,production,production-pcapi-api-fd4894567-42vpx,passculture-metier-prod,k8s_container,INFO,2021-04-30T09:50:14.403247206Z,projects/passculture-metier-prod/traces/5e0a1d7c2693823b9d64b506ebf313dc
